Denomination,Year,Monarch,Desc,Variety,Strike Type,Metal,Mintage,,,,,,,,,,,,,,,,,,18
HalfPenny,1863,Britannia,Halfpenny,Victoria,1863 1/2 Penny Lg Upper Section 3 Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1864,Britannia,Halfpenny,Victoria,1864 1/2 Penny Plain 4,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1864,Britannia,Halfpenny,Victoria,1864 1/2 Penny Crosslet 4,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1865,Britannia,Halfpenny,Victoria,1865 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1865,Britannia,Halfpenny,Victoria,1865 1/2 Penny 5/3,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1866,Britannia,Halfpenny,Victoria,1866 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1866,Britannia,Halfpenny,Victoria,1866 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1867,Britannia,Halfpenny,Victoria,1867 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1867,Britannia,Halfpenny,Victoria,1867 1/2 Penny E/P in PENNY,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1868,Britannia,Halfpenny,Victoria,1868 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1868,Britannia,Halfpenny,Victoria,1868 1/2 Penny Bronze Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1868,Britannia,Halfpenny,Victoria,1868 1/2 Penny Cu-Ni Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1869,Britannia,Halfpenny,Victoria,1869 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1870,Britannia,Halfpenny,Victoria,1870 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1871,Britannia,Halfpenny,Victoria,1871 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1872,Britannia,Halfpenny,Victoria,1872 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1873,Britannia,Halfpenny,Victoria,1873 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1874,Britannia,Halfpenny,Victoria,1874 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1874 H,Britannia,Halfpenny,Victoria,1874 H 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1874 H,Britannia,Halfpenny,Victoria,1874 H 1/2 Penny D/D in F:D:,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1874 H,Britannia,Halfpenny,Victoria,1874 H 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1875,Britannia,Halfpenny,Victoria,1875 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1875 H,Britannia,Halfpenny,Victoria,1875 H 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1875 H,Britannia,Halfpenny,Victoria,1875 H 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1876 H,Britannia,Halfpenny,Victoria,1876 H 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1877,Britannia,Halfpenny,Victoria,1877 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1878,Britannia,Halfpenny,Victoria,1878 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1878,Britannia,Halfpenny,Victoria,1878 1/2 Penny Wide Date,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1879,Britannia,Halfpenny,Victoria,1879 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1880,Britannia,Halfpenny,Victoria,1880 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1880,Britannia,Halfpenny,Victoria,1880 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1881,Britannia,Halfpenny,Victoria,1881 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1881 H,Britannia,Halfpenny,Victoria,1881 H 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1882,Britannia,Halfpenny,Victoria,1882 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1883,Britannia,Halfpenny,Victoria,1883 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1883,Britannia,Halfpenny,Victoria,1883 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1884,Britannia,Halfpenny,Victoria,1884 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1885,Britannia,Halfpenny,Victoria,1885 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1886,Britannia,Halfpenny,Victoria,1886 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1887,Britannia,Halfpenny,Victoria,1887 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1887,Britannia,Halfpenny,Victoria,1887 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1888,Britannia,Halfpenny,Victoria,1888 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1889,Britannia,Halfpenny,Victoria,1889 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1889,Britannia,Halfpenny,Victoria,1889 1/2 Penny 9/8,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1890,Britannia,Halfpenny,Victoria,1890 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1890,Britannia,Halfpenny,Victoria,1890 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1891,Britannia,Halfpenny,Victoria,1891 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1891,Britannia,Halfpenny,Victoria,1891 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1892,Britannia,Halfpenny,Victoria,1892 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1893,Britannia,Halfpenny,Victoria,1893 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1894,Britannia,Halfpenny,Victoria,1894 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1895,Britannia,Halfpenny,Victoria,1895 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1896,Britannia,Halfpenny,Victoria,1896 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1897,Britannia,Halfpenny,Victoria,1897 1/2 Penny Low Tide,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1897,Britannia,Halfpenny,Victoria,1897 1/2 Penny High Tide,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1898,Britannia,Halfpenny,Victoria,1898 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1899,Britannia,Halfpenny,Victoria,1899 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1900,Britannia,Halfpenny,Victoria,1900 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1901,Britannia,Halfpenny,Victoria,1901 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1901,Britannia,Halfpenny,Victoria,1901 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1902,Britannia,Halfpenny,Edward VII,1902 1/2 Penny Low Horizon,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1902,Britannia,Halfpenny,Edward VII,1902 1/2 Penny High Horizon,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1903,Britannia,Halfpenny,Edward VII,1903 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1904,Britannia,Halfpenny,Edward VII,1904 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1905,Britannia,Halfpenny,Edward VII,1905 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1906,Britannia,Halfpenny,Edward VII,1906 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1907,Britannia,Halfpenny,Edward VII,1907 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1908,Britannia,Halfpenny,Edward VII,1908 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1909,Britannia,Halfpenny,Edward VII,1909 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1910,Britannia,Halfpenny,Edward VII,1910 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1911,Britannia,Halfpenny,George V,1911 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1912,Britannia,Halfpenny,George V,1912 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1913,Britannia,Halfpenny,George V,1913 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1914,Britannia,Halfpenny,George V,1914 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1915,Britannia,Halfpenny,George V,1915 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1916,Britannia,Halfpenny,George V,1916 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1917,Britannia,Halfpenny,George V,1917 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1918,Britannia,Halfpenny,George V,1918 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1919,Britannia,Halfpenny,George V,1919 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1920,Britannia,Halfpenny,George V,1920 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1921,Britannia,Halfpenny,George V,1921 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1922,Britannia,Halfpenny,George V,1922 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1923,Britannia,Halfpenny,George V,1923 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1924,Britannia,Halfpenny,George V,1924 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1925,Britannia,Halfpenny,George V,1925 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1925,Britannia,Halfpenny,George V,1925 1/2 Penny Mod Head,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1926,Britannia,Halfpenny,George V,1926 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1926,Britannia,Halfpenny,George V,1926 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1927,Britannia,Halfpenny,George V,1927 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1927,Britannia,Halfpenny,George V,1927 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1928,Britannia,Halfpenny,George V,1928 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1928,Britannia,Halfpenny,George V,1928 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1929,Britannia,Halfpenny,George V,1929 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1929,Britannia,Halfpenny,George V,1929 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1930,Britannia,Halfpenny,George V,1930 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1930,Britannia,Halfpenny,George V,1930 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1931,Britannia,Halfpenny,George V,1931 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1931,Britannia,Halfpenny,George V,1931 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1932,Britannia,Halfpenny,George V,1932 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1932,Britannia,Halfpenny,George V,1932 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1933,Britannia,Halfpenny,George V,1933 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1933,Britannia,Halfpenny,George V,1933 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1934,Britannia,Halfpenny,George V,1934 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1934,Britannia,Halfpenny,George V,1934 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1935,Britannia,Halfpenny,George V,1935 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1935,Britannia,Halfpenny,George V,1935 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1936,Britannia,Halfpenny,George V,1936 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1936,Britannia,Halfpenny,George V,1936 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1937,The Golden Hind,Halfpenny,George VI,1937 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1937,The Golden Hind,Halfpenny,George VI,1937 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1937,The Golden Hind,Halfpenny,George VI,1937 1/2 Penny Matte Proof,Matte Proof,Matte Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1938,The Golden Hind,Halfpenny,George VI,1938 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1938,The Golden Hind,Halfpenny,George VI,1938 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1939,The Golden Hind,Halfpenny,George VI,1939 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1939,The Golden Hind,Halfpenny,George VI,1939 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1940,The Golden Hind,Halfpenny,George VI,1940 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1940,The Golden Hind,Halfpenny,George VI,1940 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1941,The Golden Hind,Halfpenny,George VI,1941 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1941,The Golden Hind,Halfpenny,George VI,1941 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1942,The Golden Hind,Halfpenny,George VI,1942 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1942,The Golden Hind,Halfpenny,George VI,1942 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1943,The Golden Hind,Halfpenny,George VI,1943 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1943,The Golden Hind,Halfpenny,George VI,1943 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1944,The Golden Hind,Halfpenny,George VI,1944 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1944,The Golden Hind,Halfpenny,George VI,1944 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1945,The Golden Hind,Halfpenny,George VI,1945 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1945,The Golden Hind,Halfpenny,George VI,1945 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1946,The Golden Hind,Halfpenny,George VI,1946 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1946,The Golden Hind,Halfpenny,George VI,1946 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1947,The Golden Hind,Halfpenny,George VI,1947 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1947,The Golden Hind,Halfpenny,George VI,1947 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1948,The Golden Hind,Halfpenny,George VI,1948 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1948,The Golden Hind,Halfpenny,George VI,1948 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1949,The Golden Hind,Halfpenny,George VI,1949 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1949,The Golden Hind,Halfpenny,George VI,1949 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1950,The Golden Hind,Halfpenny,George VI,1950 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1950,The Golden Hind,Halfpenny,George VI,1950 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1950,The Golden Hind,Halfpenny,George VI,1950 1/2 Penny Matte Proof,Matte Proof,Matte Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1951,The Golden Hind,Halfpenny,George VI,1951 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1951,The Golden Hind,Halfpenny,George VI,1951 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1951,The Golden Hind,Halfpenny,George VI,1951 1/2 Penny Matte Proof,Matte Proof,Matte Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1952,The Golden Hind,Halfpenny,George VI,1952 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1952,The Golden Hind,Halfpenny,George VI,1952 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1953,The Golden Hind,Halfpenny,Elizabeth II,1953 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1953,The Golden Hind,Halfpenny,Elizabeth II,1953 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1953,The Golden Hind,Halfpenny,Elizabeth II,1953 1/2 Penny Matte Proof,Matte Proof,Matte Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1954,The Golden Hind,Halfpenny,Elizabeth II,1954 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1954,The Golden Hind,Halfpenny,Elizabeth II,1954 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1955,The Golden Hind,Halfpenny,Elizabeth II,1955 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1955,The Golden Hind,Halfpenny,Elizabeth II,1955 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1956,The Golden Hind,Halfpenny,Elizabeth II,1956 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1956,The Golden Hind,Halfpenny,Elizabeth II,1956 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1957,The Golden Hind,Halfpenny,Elizabeth II,1957 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1957,The Golden Hind,Halfpenny,Elizabeth II,1957 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1958,The Golden Hind,Halfpenny,Elizabeth II,1958 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1958,The Golden Hind,Halfpenny,Elizabeth II,1958 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1959,The Golden Hind,Halfpenny,Elizabeth II,1959 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1959,The Golden Hind,Halfpenny,Elizabeth II,1959 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1960,The Golden Hind,Halfpenny,Elizabeth II,1960 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1960,The Golden Hind,Halfpenny,Elizabeth II,1960 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1962,The Golden Hind,Halfpenny,Elizabeth II,1962 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1962,The Golden Hind,Halfpenny,Elizabeth II,1962 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1963,The Golden Hind,Halfpenny,Elizabeth II,1963 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1963,The Golden Hind,Halfpenny,Elizabeth II,1963 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1964,The Golden Hind,Halfpenny,Elizabeth II,1964 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1964,The Golden Hind,Halfpenny,Elizabeth II,1964 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
HalfPenny,1965,The Golden Hind,Halfpenny,Elizabeth II,1965 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1966,The Golden Hind,Halfpenny,Elizabeth II,1966 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1967,The Golden Hind,Halfpenny,Elizabeth II,1967 1/2 Penny,Business Strike,,,,,,,,,,,,,,,,,,,
HalfPenny,1970,The Golden Hind,Halfpenny,Elizabeth II,1970 1/2 Penny Proof,Proof,Proof,,,,,,,,,,,,,,,,,,
Penny,1797,George III,,,Business Strike,Copper,,,,,,,,,,,,,,,,,,,
Penny,1901,Victoria,Britannia,,Business Strike,Bronze,22206000,,,,,,,,,,,,,,,,,,
Penny,1901,Victoria,Britannia,,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Penny,1902,Edward VII,Britannia,Low Horizon,Business Strike,Bronze,26977000,,,,,,,,,,,,,,,,,,
Penny,1902,Edward VII,Britannia,High Horizon,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Penny,1903,Edward VII,Britannia,,Business Strike,Bronze,21415000,,,,,,,,,,,,,,,,,,
Penny,1904,Edward VII,Britannia,,Business Strike,Bronze,12913000,,,,,,,,,,,,,,,,,,
Penny,1905,Edward VII,Britannia,,Business Strike,Bronze,17784000,,,,,,,,,,,,,,,,,,
Penny,1906,Edward VII,Britannia,,Business Strike,Bronze,37990000,,,,,,,,,,,,,,,,,,
Penny,1907,Edward VII,Britannia,,Business Strike,Bronze,47322000,,,,,,,,,,,,,,,,,,
Penny,1908,Edward VII,Britannia,,Business Strike,Bronze,31506000,,,,,,,,,,,,,,,,,,
Penny,1908,Edward VII,Britannia,,Matte Proof,Bronze,3,,,,,,,,,,,,,,,,,,
Penny,1909,Edward VII,Britannia,,Business Strike,Bronze,19617000,,,,,,,,,,,,,,,,,,
Penny,1910,Edward VII,Britannia,,Business Strike,Bronze,29549000,,,,,,,,,,,,,,,,,,
Penny,1911,George V,Britannia,,Business Strike,Bronze,23079000,,,,,,,,,,,,,,,,,,
Penny,1912,George V,Britannia,,Business Strike,Bronze,48306000,,,,,,,,,,,,,,,,,,
Penny,1912 H,George V,Britannia,,Business Strike,Bronze,16800000,,,,,,,,,,,,,,,,,,
Penny,1913,George V,Britannia,,Business Strike,Bronze,65497000,,,,,,,,,,,,,,,,,,
Penny,1914,George V,Britannia,,Business Strike,Bronze,50821000,,,,,,,,,,,,,,,,,,
Penny,1915,George V,Britannia,,Business Strike,Bronze,47311000,,,,,,,,,,,,,,,,,,
Penny,1916,George V,Britannia,,Business Strike,Bronze,86411000,,,,,,,,,,,,,,,,,,
Penny,1917,George V,Britannia,,Business Strike,Bronze,107905000,,,,,,,,,,,,,,,,,,
Penny,1918,George V,Britannia,,Business Strike,Bronze,84227000,,,,,,,,,,,,,,,,,,
Penny,1918 H,George V,Britannia,,Business Strike,Bronze,2573000,,,,,,,,,,,,,,,,,,
Penny,1918 KN,George V,Britannia,,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Penny,1919,George V,Britannia,,Business Strike,Bronze,113761000,,,,,,,,,,,,,,,,,,
Penny,1919 H,George V,Britannia,,Business Strike,Bronze,4526000,,,,,,,,,,,,,,,,,,
Penny,1919 KN,George V,Britannia,,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Penny,1920,George V,Britannia,,Business Strike,Bronze,124693000,,,,,,,,,,,,,,,,,,
Penny,1921,George V,Britannia,,Business Strike,Bronze,129717999,,,,,,,,,,,,,,,,,,
Penny,1922,George V,Britannia,,Business Strike,Bronze,16347000,,,,,,,,,,,,,,,,,,
Penny,1922,George V,Britannia,Rev of 1927,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Penny,1926,George V,Britannia,,Business Strike,Bronze,4499000,,,,,,,,,,,,,,,,,,
Penny,1926,George V,Britannia,,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Penny,1926,George V,Britannia,Mod Head,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Penny,1927,George V,Britannia,,Business Strike,Bronze,60990000,,,,,,,,,,,,,,,,,,
Penny,1927,George V,Britannia,,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Penny,1928,George V,Britannia,,Business Strike,Bronze,50178000,,,,,,,,,,,,,,,,,,
Penny,1928,George V,Britannia,,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Penny,1929,George V,Britannia,,Business Strike,Bronze,49133000,,,,,,,,,,,,,,,,,,
Penny,1929,George V,Britannia,,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Penny,1930,George V,Britannia,,Business Strike,Bronze,29098000,,,,,,,,,,,,,,,,,,
Penny,1930,George V,Britannia,,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Penny,1931,George V,Britannia,,Business Strike,Bronze,19843000,,,,,,,,,,,,,,,,,,
Penny,1931,George V,Britannia,,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Penny,1932,George V,Britannia,,Business Strike,Bronze,8278000,,,,,,,,,,,,,,,,,,
Penny,1932,George V,Britannia,,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Penny,1933,George V,Britannia,,Business Strike,Bronze,7,,,,,,,,,,,,,,,,,,
Penny,1934,George V,Britannia,,Business Strike,Bronze,13966000,,,,,,,,,,,,,,,,,,
Penny,1934,George V,Britannia,,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Penny,1935,George V,Britannia,,Business Strike,Bronze,56070000,,,,,,,,,,,,,,,,,,
Penny,1935,George V,Britannia,,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Penny,1936,George V,Britannia,,Business Strike,Bronze,154296000,,,,,,,,,,,,,,,,,,
Penny,1936,George V,Britannia,,Proof,Bronze,,,,,,,,,,,,,,,,,,,
