Denomination,Year,Monarch,Desc,Variety,Strike Type,Metal,Mintage,,,,,,,,,,,,,,,,,,18
Farthing,1844,Victoria,Britannia,E/E in DEI,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1845,Victoria,Britannia,None/Unknown,Business Strike,Copper,3225600,,,,,,,,,,,,,,,,,,
Farthing,1845,Victoria,Britannia,Lg Date,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1845,Victoria,Britannia,4/4,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1845,Victoria,Britannia,5/5 (North),Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1845,Victoria,Britannia,5/5 (South),Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1845,Victoria,Britannia,5/5 A/A in GRATIA,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1845,Victoria,Britannia,O/O in VICTORIA,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1846,Victoria,Britannia,None/Unknown,Business Strike,Copper,2580400,,,,,,,,,,,,,,,,,,
Farthing,1846,Victoria,Britannia,4/4 (South),Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1846,Victoria,Britannia,Sm 6,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1847,Victoria,Britannia,None/Unknown,Business Strike,Copper,3879700,,,,,,,,,,,,,,,,,,
Farthing,1847,Victoria,Britannia,1 over invert. 1,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1847,Victoria,Britannia,None/Unknown,Proof,Copper,,,,,,,,,,,,,,,,,,,
Farthing,1848,Victoria,Britannia,None/Unknown,Business Strike,Copper,1290200,,,,,,,,,,,,,,,,,,
Farthing,1848,Victoria,Britannia,DEF.,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1848,Victoria,Britannia,8/8,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1848,Victoria,Britannia,E over horz. E in DEF,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1849,Victoria,Britannia,None/Unknown,Business Strike,Copper,645100,,,,,,,,,,,,,,,,,,
Farthing,1849,Victoria,Britannia,DEF.,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1849,Victoria,Britannia,4/4 (South),Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1850,Victoria,Britannia,None/Unknown,Business Strike,Copper,430080,,,,,,,,,,,,,,,,,,
Farthing,1850,Victoria,Britannia,BRITANNIAR.,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1850,Victoria,Britannia,5/5 (North),Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1850,Victoria,Britannia,5/4?,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1851,Victoria,Britannia,None/Unknown,Business Strike,Copper,1935300,,,,,,,,,,,,,,,,,,
Farthing,1851,Victoria,Britannia,D over horz. D  in DEI,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1851,Victoria,Britannia,BRITANNIAR.,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1851,Victoria,Britannia,"""185I""",Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1852,Victoria,Britannia,None/Unknown,Business Strike,Copper,822500,,,,,,,,,,,,,,,,,,
Farthing,1852,Victoria,Britannia,E/E (East) in REG,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1852,Victoria,Britannia,2/2 (North),Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1852,Victoria,Britannia,V/V in VICTORIA,Business Strike,Copper,Inc Abv,,,,,,,,,,,,,,,,,,
